R001 J1,J2
R002 J6,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19
R003 I1,I2,I3,I4
R004 I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20
R005 H1,H2
R006 H6,H7,H8,H9
R007 H13,H14,H15,H16
R008 G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,G13
R009 F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12
R010 E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14
R011 D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,D13,D14
R012 C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13
R013 G17,G18,G19,G20
R014 B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13
R015 F16,F17
R016 C17,C18,C19,C20
R017 B17,B18,B19,B20
R018 E18,E19,E20
R019 A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12
R020 A16,A17,A18,A19
R021 
R022 D18,D19,D20
